# app-ads.txt for zedlogiccloudpulse.com
# Authorized Advertising Sellers

# Google AdMob
google.com, pub-0000000000000000, DIRECT, f08c47fec0942fa0

# Google AdSense
google.com, pub-0000000000000000, DIRECT, f08c47fec0942fa0

# AppLovin / MAX
applovin.com, 000000000000000, DIRECT, 6db19d391d2ff5f4
applovin.com, 000000000000000, RESELLER, 6db19d391d2ff5f4

# Unity LevelPlay (Unity Ads)
unity.com, 0000000, DIRECT, 96d6c39f8b6c4d77
unity.com, 0000000, RESELLER, 96d6c39f8b6c4d77

# Meta Audience Network
facebook.com, 000000000000000, DIRECT, c3e20eee3a780aca

# Pangle (ByteDance)
pangle.io, 0000000000000000, DIRECT, 1366fa917a044e07
pangle.io, 0000000000000000, RESELLER, 1366fa917a044e07

# Vungle
vungle.com, 0000000000000000000000000000000000000000, DIRECT, 9817d8e514fb41ab
vungle.com, 0000000000000000000000000000000000000000, RESELLER, 9817d8e514fb41ab

# ironSource
ironsrc.com, 00000000000000000000000000000000, DIRECT, 9b8e461f5b6749b9
ironsrc.com, 00000000000000000000000000000000, RESELLER, 9b8e461f5b6749b9

# Mintegral
mintegral.com, 000000000000000, DIRECT, 7c7c8b6b8c8b8c8b8c8b8c8b8c8b8c8b
mintegral.com, 000000000000000, RESELLER, 7c7c8b6b8c8b8c8b8c8b8c8c8c8c8c8c

# InMobi
inmobi.com, 00000000000000000000000000000000, DIRECT, 7c7c8b6b8c8b8c8b8c8b8c8b8c8b8c8b
inmobi.com, 00000000000000000000000000000000, RESELLER, 7c7c8b6b8c8b8c8b8c8b8c8b8c8b8c8b

# Digital Turbine
digitalturbine.com, 000000, DIRECT, 00000000000000000000000000000000

# Chartboost
chartboost.com, 0000000000000000, DIRECT, 00000000000000000000000000000000

# Tapjoy
tapjoy.com, 00000000-0000-0000-0000-000000000000, DIRECT, 00000000000000000000000000000000

# Liftoff (Vungle)
liftoff.io, 00000000000000000000000000000000, DIRECT, 00000000000000000000000000000000

# AdColony
adcolony.com, 00000000000000000000000000000000, DIRECT, 1ded825d8a8b4821

# Start.io
start.io, 000000000000000000000000, DIRECT, 00000000000000000000000000000000

# Fyber
fyber.com, 00000000000000000000000000000000, DIRECT, 00000000000000000000000000000000
